iter	Passed	Remaining
487	618	649
488	619	647
489	620	645
490	622	645
491	624	644
492	626	643
493	627	642
494	628	640
495	629	639
496	629	637
497	630	635
498	631	633
499	632	632
500	633	630
501	635	630
502	636	628
503	639	628
504	639	627
505	640	625
506	641	623
507	642	621
508	642	620
509	643	618
510	644	616
511	645	615
512	646	613
513	646	611
514	647	609
515	649	609
516	651	608
517	653	607
518	654	606
519	655	605
520	656	603
521	657	602
522	658	600
523	659	598
524	659	596
525	660	595
526	661	593
527	662	592
528	666	593
529	667	591
530	668	590
531	669	589
532	670	587
533	671	585
534	671	584
535	672	582
536	673	580
537	673	578
538	674	576
539	675	575
540	676	573
541	676	571
542	677	570
543	679	569
544	680	567
545	681	566
546	682	565
547	683	563
548	683	561
549	684	560
550	685	558
551	685	556
552	686	554
553	687	553
554	688	551
555	688	550
556	689	548
557	690	546
558	690	544
559	691	543
560	693	542
561	696	542
562	697	541
563	697	539
564	698	537
565	699	536
566	699	534
567	700	532
568	701	531
569	701	529
570	702	527
571	703	526
572	704	524
573	704	523
574	705	521
575	706	519
576	707	518
577	708	517
578	709	516
579	710	514
580	711	513
581	712	511
582	713	510
583	714	508
584	715	507
585	715	505
586	716	504
587	717	502
588	718	501
589	718	499
590	719	498
591	720	496
592	721	494
593	722	493
594	723	492
595	724	491
596	726	490
597	726	488
598	727	486
599	728	485
600	728	483
601	729	482
602	730	480
603	731	479
604	731	477
605	732	476
606	733	474
607	734	473
608	734	471
609	737	471
610	739	470
611	740	469
612	740	467
613	741	466
614	742	464
615	742	463
616	743	461
617	744	460
618	744	458
619	745	456
620	746	455
621	746	453
622	747	452
623	748	450
624	749	449
625	749	447
626	753	448
627	753	446
628	754	445
629	755	443
630	755	442
631	756	440
632	757	439
633	758	437
634	758	436
635	759	434
636	760	433
637	760	431
638	761	430
639	762	428
640	763	427
641	763	425
642	764	424
643	768	424
644	769	423
645	769	421
646	770	420
647	771	418
648	771	417
649	772	415
650	772	414
651	773	412
652	774	411
653	775	410
654	775	408
655	776	407
656	777	405
657	777	404
658	778	402
659	778	401
660	779	399
661	781	399
662	782	397
663	783	396
664	784	394
665	784	393
666	785	392
667	786	390
668	786	389
669	787	387
670	787	386
671	788	384
672	789	383
673	789	382
674	790	380
675	791	379
676	791	377
677	792	376
678	793	374
679	793	373
680	794	372
681	797	371
682	798	370
683	799	369
684	800	367
685	800	366
686	801	365
687	802	363
688	803	362
689	803	361
690	804	359
691	804	358
692	805	356
693	806	355
694	807	354
695	808	353
696	809	351
697	810	350
698	812	349
699	813	348
700	813	347
701	814	345
702	815	344
703	816	343
704	816	341
705	817	340
706	818	339
707	819	337
708	820	336
709	821	335
710	822	334
711	822	332
712	823	331
713	828	331
714	829	330
715	830	329
716	831	328
717	831	326
718	832	325
719	833	324
720	833	322
721	834	321
722	835	319
723	835	318
724	836	317
725	837	316
726	838	314
727	843	315
728	844	313
729	845	312
730	845	311
731	846	309
732	847	308
733	847	307
734	848	306
735	849	304
736	850	303
737	851	302
738	851	300
739	852	299
740	853	298
741	856	297
742	858	296
743	858	295
744	859	294
745	860	292
746	861	291
747	861	290
748	862	289
749	863	287
750	864	286
751	865	285
752	865	283
753	866	282
754	867	281
755	868	280
756	873	280
757	874	279
758	874	277
759	875	276
760	876	275
761	877	273
762	878	272
763	878	271
764	879	270
765	880	268
766	881	267
767	881	266
768	882	265
769	883	263
770	884	262
771	885	261
772	886	260
773	887	259
774	888	257
775	888	256
776	889	255
777	890	254
778	891	252
779	891	251
780	892	250
781	893	249
782	893	247
783	894	246
784	895	245
785	895	243
786	896	242
787	897	241
788	897	240
789	898	238
790	901	238
791	902	237
792	903	235
793	904	234
794	904	233
795	905	232
796	906	230
797	907	229
798	907	228
799	908	227
800	909	225
801	909	224
802	910	223
803	911	222
804	911	220
805	912	219
806	913	218
807	915	217
808	917	216
809	917	215
810	918	214
811	919	212
812	920	211
813	920	210
814	921	209
815	922	207
816	922	206
817	923	205
818	924	204
819	925	203
820	926	201
821	927	200
822	927	199
823	929	198
824	932	197
825	933	196
826	934	195
827	935	194
828	935	193
829	936	191
830	937	190
831	938	189
832	939	188
833	939	187
834	940	185
835	941	184
836	941	183
837	942	182
838	944	181
839	945	180
840	947	179
841	947	177
842	948	176
843	949	175
844	950	174
845	951	173
846	951	171
847	952	170
848	953	169
849	954	168
850	955	167
851	956	166
852	956	164
853	957	163
854	959	162
855	960	161
856	961	160
857	963	159
858	964	158
859	965	157
860	966	156
861	967	154
862	968	153
863	968	152
864	969	151
865	970	150
866	971	148
867	972	147
868	974	146
869	975	145
870	976	144
871	977	143
872	978	142
873	979	141
874	980	140
875	981	138
876	981	137
877	982	136
878	983	135
879	984	134
880	985	133
881	986	131
882	986	130
883	988	129
884	990	128
885	991	127
886	993	126
887	994	125
888	995	124
889	996	123
890	996	121
891	997	120
892	998	119
893	999	118
894	1000	117
895	1001	116
896	1001	115
897	1003	113
898	1004	112
899	1005	111
900	1006	110
901	1009	109
902	1010	108
903	1010	107
904	1011	106
905	1012	105
906	1013	103
907	1013	102
908	1014	101
909	1015	100
910	1022	99
911	1023	98
912	1024	97
913	1025	96
914	1026	95
915	1027	94
916	1028	93
917	1029	91
918	1029	90
919	1031	89
920	1033	88
921	1034	87
922	1036	86
923	1037	85
924	1038	84
925	1039	83
926	1039	81
927	1040	80
928	1041	79
929	1042	78
930	1044	77
931	1044	76
932	1047	75
933	1049	74
934	1049	72
935	1051	71
936	1052	70
937	1053	69
938	1056	68
939	1056	67
940	1057	66
941	1058	65
942	1059	64
943	1060	62
944	1062	61
945	1063	60
946	1064	59
947	1065	58
948	1065	57
949	1066	56
950	1067	54
951	1068	53
952	1069	52
953	1069	51
954	1070	50
955	1071	49
956	1071	48
957	1072	47
958	1073	45
959	1074	44
960	1076	43
961	1077	42
962	1079	41
963	1080	40
964	1082	39
965	1082	38
966	1084	36
967	1084	35
968	1085	34
969	1086	33
970	1087	32
971	1088	31
972	1089	30
973	1093	29
974	1094	28
975	1096	26
976	1097	25
977	1098	24
978	1100	23
979	1102	22
980	1104	21
981	1106	20
982	1108	19
983	1109	18
984	1110	16
985	1111	15
986	1111	14
987	1112	13
988	1114	12
989	1115	11
990	1115	10
991	1120	9
992	1121	7
993	1123	6
994	1124	5
995	1125	4
996	1126	3
997	1127	2
998	1129	1
999	1129	0
